Date,equity,buy_hold_equity,drawdown_%
2013-01-18,0.9890228837955383,1.3339491535363097,-16.14537305949433
2013-01-21,0.9890228837955383,1.3378864861602022,-16.14537305949433
2013-01-22,0.9890228837955383,1.3304517487453498,-16.14537305949433
2013-01-23,0.9890228837955383,1.3317274964991508,-16.14537305949433
2013-01-24,0.9890228837955383,1.3240398220612135,-16.14537305949433
2013-01-25,0.9890228837955383,1.336203783680088,-16.14537305949433
2013-01-28,0.9890228837955383,1.3362367567867066,-16.14537305949433
2013-01-29,0.9890228837955383,1.3307596767475514,-16.14537305949433
2013-01-30,0.9890228837955383,1.3320464871397293,-16.14537305949433
2013-01-31,0.9890228837955383,1.3274272448939406,-16.14537305949433
2013-02-01,0.9890228837955383,1.3195415170077789,-16.14537305949433
2013-02-04,0.9890228837955383,1.3169789588617997,-16.14537305949433
2013-02-05,0.9890228837955383,1.3103030325162017,-16.14537305949433
2013-02-06,0.9890228837955383,1.3108090139666275,-16.14537305949433
2013-02-07,0.9890228837955383,1.3063216641473137,-16.14537305949433
2013-02-08,0.9890228837955383,1.298556980857762,-16.14537305949433
2013-02-11,0.9890228837955383,1.2973142062105796,-16.14537305949433
2013-02-12,0.9890228837955383,1.3027362952706183,-16.14537305949433
2013-02-13,0.9890228837955383,1.3050349611593917,-16.14537305949433
2013-02-14,0.9890228837955383,1.297116260166611,-16.14537305949433
2013-02-15,0.9890228837955383,1.295015540321806,-16.14537305949433
2013-02-18,0.9890228837955383,1.2973912150621938,-16.14537305949433
2013-02-19,0.9890228837955383,1.3065197175955379,-16.14537305949433
2013-02-20,0.9890228837955383,1.3072565107922944,-16.14537305949433
2013-02-21,0.9890228837955383,1.287283830138873,-16.14537305949433
2013-02-22,0.9890228837955383,1.2868548575400616,-16.14537305949433
2013-02-25,0.9890228837955383,1.2878337399300384,-16.14537305949433
2013-02-26,0.9890228837955383,1.2672891316129535,-16.14537305949433
2013-02-27,0.9890228837955383,1.275108805881622,-16.14537305949433
2013-02-28,0.9890228837955383,1.2522655316757638,-16.14537305949433
2013-03-01,0.9890228837955383,1.258127655972991,-16.14537305949433
2013-03-04,0.9890228837955383,1.2534643779822068,-16.14537305949433
2013-03-05,0.9890228837955383,1.272326283819177,-16.14537305949433
2013-03-06,0.9890228837955383,1.2798820658306396,-16.14537305949433
2013-03-07,0.9890228837955383,1.2897143884541218,-16.14537305949433
2013-03-08,0.9890228837955383,1.3078395010943353,-16.14537305949433
2013-03-11,0.9890228837955383,1.3071026004933226,-16.14537305949433
2013-03-12,0.9890228837955383,1.3008886198531546,-16.14537305949433
2013-03-13,0.9890228837955383,1.2870529109882867,-16.14537305949433
2013-03-14,0.9890228837955383,1.2997558271642053,-16.14537305949433
2013-03-15,0.9890228837955383,1.2917601173198106,-16.14537305949433
2013-03-18,0.9890228837955383,1.2835444435589496,-16.14537305949433
2013-03-19,0.9890228837955383,1.2639017087802271,-16.14537305949433
2013-03-20,0.9890228837955383,1.2525625044438449,-16.14537305949433
2013-03-21,0.9890228837955383,1.2447208123026787,-16.14537305949433
2013-03-22,0.9890228837955383,1.2430931008016806,-16.14537305949433
2013-03-25,0.9890228837955383,1.2392437322635232,-16.14537305949433
2013-03-26,0.9890228837955383,1.2409484526161356,-16.14537305949433
2013-03-28,0.9890228837955383,1.2499559105528697,-16.14537305949433
2013-04-01,0.9890228837955383,1.2547621436085057,-16.14537305949433
2013-04-02,0.9890228837955383,1.2643746097197777,-16.14537305949433
2013-04-03,0.9890228837955383,1.2478332802398227,-16.14537305949433
2013-04-04,0.9890228837955383,1.226243843319524,-16.14537305949433
2013-04-05,0.9890228837955383,1.2215146191155024,-16.14537305949433
2013-04-08,0.9890228837955383,1.2192490337376036,-16.14537305949433
2013-04-09,0.9890228837955383,1.2087237388538483,-16.14537305949433
2013-04-10,0.9890228837955383,1.222713465421945,-16.14537305949433
2013-04-11,0.9890228837955383,1.2304781487114969,-16.14537305949433
2013-04-12,0.9890228837955383,1.2160814674170866,-16.14537305949433
2013-04-15,0.9890228837955383,1.224847050969113,-16.14537305949433
2013-04-16,0.9890228837955383,1.2513637655416578,-16.14537305949433
2013-04-17,0.9890228837955383,1.2513087745625413,-16.14537305949433
2013-04-18,0.9890228837955383,1.272073346796092,-16.14537305949433
2013-04-22,0.9890228837955383,1.2833574527491018,-16.14537305949433
2013-04-23,0.9890228837955383,1.2839073625402673,-16.14537305949433
2013-04-25,0.9890228837955383,1.3013724760268264,-16.14537305949433
2013-04-26,0.9890228837955383,1.2915071802967257,-16.14537305949433
2013-04-29,0.9890228837955383,1.2986889806884934,-16.14537305949433
2013-04-30,0.9890228837955383,1.3044300603891104,-16.14537305949433
2013-05-02,0.9890228837955383,1.3196405437318917,-16.14537305949433
2013-05-03,0.9890228837955383,1.3074655194746405,-16.14537305949433
2013-05-06,0.9890228837955383,1.3134155004533468,-16.14537305949433
2013-05-07,0.9890228837955383,1.3293628843971408,-16.14537305949433
2013-05-08,0.9890228837955383,1.3350269552461436,-16.14537305949433
2013-05-09,0.9890228837955383,1.3308146677266686,-16.14537305949433
2013-05-10,0.9890228837955383,1.3406250798819088,-16.14537305949433
2013-05-13,0.9890228837955383,1.3154832471915334,-16.14537305949433
2013-05-14,0.9890228837955383,1.3187716433001484,-16.14537305949433
2013-05-15,0.9890228837955383,1.3520632035381477,-16.14537305949433
2013-05-16,0.9890228837955383,1.3571553467234871,-16.14537305949433
2013-05-17,0.9890228837955383,1.3609826973891466,-16.14537305949433
2013-05-20,0.9890228837955383,1.3542958158094276,-16.14537305949433
2013-05-21,0.9890228837955383,1.34488140314638,-16.14537305949433
2013-05-22,0.9890228837955383,1.3405700889027927,-16.14537305949433
2013-05-23,0.9890228837955383,1.3125356447874827,-16.14537305949433
2013-05-24,0.983566435027974,1.3161650494091737,-16.60799984328336
2013-05-27,0.9999385412488416,1.3380734769700509,-15.219885491355988
2013-05-28,1.004557590772595,1.3442544845036002,-14.828257874866857
2013-05-29,1.003415128680793,1.3427256923224582,-14.925121894973314
2013-05-30,1.0066616023838422,1.347069979672664,-14.64986856595365
2013-05-31,0.9839610074351187,1.3166930487320971,-16.574545893385707
2013-06-03,0.9762926901489906,1.3064316461055476,-17.224706669061586
2013-06-04,0.9730298428147255,1.3020654482871,-17.501348241730376
2013-06-05,0.9737530917896606,1.3030332680386996,-17.440027342111208
2013-06-06,0.9723765794751182,1.3024943134816551,-17.55673538649133
2013-06-07,0.9723765794751182,1.2936077927372749,-17.55673538649133
2013-06-10,0.9723765794751182,1.2929479009878764,-17.55673538649133
2013-06-11,0.9723765794751182,1.2733270766773956,-17.55673538649133
2013-06-12,0.9723765794751182,1.2670361945898694,-17.55673538649133
2013-06-13,0.9723765794751182,1.253596377812938,-17.55673538649133
2013-06-14,0.9723765794751182,1.277638390920983,-17.55673538649133
2013-06-17,0.9723765794751182,1.2867998665609457,-17.55673538649133
2013-06-18,0.9723765794751182,1.2787822462483092,-17.55673538649133
2013-06-19,0.9723765794751182,1.28068491264489,-17.55673538649133
2013-06-20,0.9723765794751182,1.244093893659899,-17.55673538649133
2013-06-21,0.9761885874676497,1.2466784696783761,-17.233533048764592
2013-06-24,0.9628573297786676,1.2296532840247494,-18.363828068701103
2013-06-25,0.9661040458817692,1.233799625330987,-18.088554187714134
2013-06-26,0.9625903934514757,1.2293123829159294,-18.386460352038824
2013-06-27,0.9787205298326278,1.2499119822121307,-17.018861491686653
2013-06-28,1.0062529010493275,1.2850732357400918,-14.684520441554639
2013-07-01,1.0160102059467695,1.2975341701270464,-13.857244171687356
2013-07-02,1.0088966976408855,1.2884495959344417,-14.460365287488964
2013-07-03,0.9939722320809757,1.2693897440535034,-15.725740955046696
2013-07-04,1.0043546757013144,1.2839184251786444,-14.84546209519545
2013-07-05,1.0043546757013144,1.2907262439507172,-14.84546209519545
2013-07-08,1.0043546757013144,1.278331255777,-14.84546209519545
2013-07-09,1.0043546757013144,1.2887685865750198,-14.84546209519545
2013-07-10,1.0043546757013144,1.2794641558702051,-14.84546209519545
2013-07-11,1.0043546757013144,1.3055078620989429,-14.84546209519545
2013-07-12,1.0043546757013144,1.3217631740449383,-14.84546209519545
2013-07-15,1.0043546757013144,1.3265583444621976,-14.84546209519545
2013-07-16,1.0043546757013144,1.3099401135348843,-14.84546209519545
2013-07-17,1.0043546757013144,1.3139104192653954,-14.84546209519545
2013-07-18,1.0043546757013144,1.328153082856577,-14.84546209519545
2013-07-19,1.0043546757013144,1.3262064881192568,-14.84546209519545
2013-07-22,1.0043546757013144,1.3267783083786637,-14.84546209519545
2013-07-23,1.0043546757013144,1.3368966485361053,-14.84546209519545
2013-07-24,1.0043546757013144,1.3176938415903152,-14.84546209519545
